03-19 15:03:33: Training starting...
03-19 15:03:35: New best reward -8.1 (-100.0%) at episode 0, saving model...
03-19 15:03:35: New best reward -6.9 (-14.8%) at episode 1, saving model...
03-19 15:03:35: New best reward -5.1 (-26.1%) at episode 10, saving model...
03-19 15:03:35: New best reward -4.5 (-11.8%) at episode 44, saving model...
03-19 15:03:35: New best reward -3.9 (-13.3%) at episode 102, saving model...
03-19 15:03:36: New best reward -2.7 (-30.8%) at episode 107, saving model...
03-19 15:03:36: New best reward -0.3 (-88.9%) at episode 160, saving model...
03-19 15:03:37: New best reward 1.5 (-600.0%) at episode 244, saving model...
03-19 15:04:24: New best reward 3.9 (+160.0%) at episode 3352, saving model...
